Tamaño de Matriz,Iteración,Hilos,Tiempo (s)
1600,2,2,17.908968
1600,3,2,17.915832
1600,4,2,18.232769
1600,5,2,19.451418
1600,6,2,19.780371
1600,7,2,18.973780
1600,8,2,19.691579
1600,9,2,18.698708
1600,10,2,18.481032
1600,1,4,10.825398
1600,2,4,10.893660
1600,3,4,10.789494
1600,4,4,10.974564
1600,5,4,10.854164
1600,6,4,10.743643
1600,7,4,10.879486
1600,8,4,11.277359
1600,9,4,11.439619
1600,10,4,11.172731
1600,1,8,11.050627
1600,2,8,10.886742
1600,3,8,11.574337
1600,4,8,11.031761
1600,5,8,10.824276
1600,6,8,10.996370
1600,7,8,10.918721
1600,8,8,10.714608
1600,9,8,10.882088
1600,10,8,10.303735
1600,1,16,10.765607
1600,2,16,10.797013
1600,3,16,10.600335
1600,4,16,10.551142
1600,5,16,10.704290
1600,6,16,10.604656
1600,7,16,10.539973
1600,8,16,10.614981
1600,9,16,10.645607
1600,10,16,10.550271
1600,1,32,10.790908
1600,2,32,10.563008
1600,3,32,10.866713
1600,4,32,10.653634
1600,5,32,10.673247
1600,6,32,10.629505
1600,7,32,10.670914
1600,8,32,10.556015
1600,9,32,10.621812
1600,10,32,10.604001
3200,1,2,188.598356
3200,2,2,207.847835
3200,3,2,204.719509
3200,4,2,368.262492
3200,5,2,419.853445
3200,6,2,435.472892
3200,7,2,449.651406
3200,8,2,498.484619
3200,9,2,213.459948
3200,10,2,178.184325
3200,1,4,121.788079
3200,2,4,129.476887
3200,3,4,132.857972
3200,4,4,128.994645
3200,5,4,133.022392
3200,6,4,131.808997
3200,7,4,120.083440
3200,8,4,119.417984
3200,9,4,122.668273
3200,10,4,122.581898
3200,1,8,114.850619
3200,2,8,114.630821
3200,3,8,116.153671
3200,4,8,118.273403
3200,5,8,113.986255
3200,6,8,113.810792
3200,7,8,121.030180
3200,8,8,109.342993
3200,9,8,114.229110
3200,10,8,112.115650
3200,1,16,111.877622
3200,2,16,114.789489
3200,3,16,115.849698
3200,4,16,111.837843
3200,5,16,122.260554
3200,6,16,126.160403
3200,7,16,129.236154
3200,8,16,122.704340
3200,9,16,136.786480
3200,10,16,117.883946
3200,1,32,106.988522
3200,2,32,111.320472
3200,3,32,102.429229
3200,4,32,104.280959
3200,5,32,104.307569
3200,6,32,103.198216
3200,7,32,102.077054
3200,8,32,102.013466
3200,9,32,101.569538
3200,10,32,100.941220
