3200,8,4,172.227894
3200,9,4,107.308496
3200,10,4,107.381987
3200,1,8,96.092110
3200,2,8,96.216402
3200,3,8,96.204983
3200,4,8,94.202785
3200,5,8,79.349271
3200,6,8,79.769509
3200,7,8,79.599810
3200,8,8,79.477949
3200,9,8,79.739188
3200,10,8,86.591365
3200,1,16,51.505062
3200,2,16,49.695277
3200,3,16,49.882730
3200,4,16,49.526384
3200,5,16,48.888628
3200,6,16,49.854668
3200,7,16,49.988628
3200,8,16,50.921346
3200,9,16,54.362883
3200,10,16,51.760414
3200,1,32,25.984227
3200,2,32,25.567680
3200,3,32,25.973528
3200,4,32,25.573118
3200,5,32,25.997815
3200,6,32,26.786486
3200,7,32,26.082172
3200,8,32,25.743081
3200,9,32,26.378338
3200,10,32,26.322720
3200,1,2,210.966532
3200,2,2,209.871430
3200,3,2,216.796415
3200,4,2,212.613654
3200,5,2,211.067827
3200,6,2,199.937809
3200,7,2,210.053332
3200,8,2,219.863493
3200,9,2,205.707047
3200,10,2,254.032206
3200,1,4,181.642435
3200,2,4,188.964631
3200,3,4,216.941841
3200,4,4,139.267554
3200,5,4,120.996963
3200,6,4,121.622858
3200,7,4,126.739929
3200,8,4,141.038425
3200,9,4,150.522113
3200,10,4,140.926864
3200,1,8,102.540770
3200,2,8,104.949751
3200,3,8,105.682260
3200,4,8,103.992171
3200,5,8,97.357276
3200,6,8,99.802708
3200,7,8,98.927927
3200,8,8,100.539472
3200,9,8,106.672890
3200,10,8,106.118924
3200,1,16,51.702497
3200,2,16,51.618111
3200,3,16,51.333275
3200,4,16,51.432124
3200,5,16,51.505992
3200,6,16,51.405074
3200,7,16,51.276779
3200,8,16,51.316818
3200,9,16,51.107854
3200,10,16,51.140911
3200,1,32,26.458159
3200,2,32,25.240619
3200,3,32,24.784427
3200,4,32,24.792225
3200,5,32,24.663656
3200,6,32,24.637619
3200,7,32,24.586479
3200,8,32,25.226198
3200,9,32,24.430946
3200,10,32,25.450795
3200,1,2,202.058573
3200,2,2,203.134468
3200,3,2,212.624156
3200,4,2,198.163933
3200,5,2,200.189151
3200,6,2,205.825526
3200,7,2,200.328634
3200,8,2,206.360501
3200,9,2,205.012114
3200,10,2,204.980143
3200,1,4,124.098423
3200,2,4,126.091206
