Tamaño de Matriz,Iteración,Hilos,Tiempo (s)
1600,1,4,12.027741
1600,1,8,10.867383
1600,1,16,11.171591
1600,1,32,11.087775
1600,2,2,20.452357
1600,2,4,12.038874
1600,2,8,10.868540
1600,2,16,11.063386
1600,2,32,11.146608
1600,3,2,20.496858
1600,3,4,12.076591
1600,3,8,10.837079
1600,3,16,11.129991
1600,3,32,11.142091
1600,4,2,20.539703
1600,4,4,12.102407
1600,4,8,10.907131
1600,4,16,11.303266
1600,4,32,11.167369
1600,5,2,20.388075
1600,5,4,12.184522
1600,5,8,10.923639
1600,5,16,11.190584
1600,5,32,11.146392
1600,6,2,20.404164
1600,6,4,12.178788
1600,6,8,11.023274
1600,6,16,11.265103
1600,6,32,11.182247
1600,7,2,20.460632
1600,7,4,12.212450
1600,7,8,11.067122
1600,7,16,11.228203
1600,7,32,11.226327
1600,8,2,20.369820
1600,8,4,12.199827
1600,8,8,11.257105
1600,8,16,11.201942
1600,8,32,11.269185
1600,9,2,20.622805
1600,9,4,12.110118
1600,9,8,10.923674
1600,9,16,11.134680
1600,9,32,11.098153
1600,10,2,20.406854
1600,10,4,12.064067
1600,10,8,10.995821
1600,10,16,11.205519
1600,10,32,11.055803
3200,1,2,194.535908
3200,1,4,115.987641
3200,1,8,97.305836
3200,1,16,100.660100
3200,1,32,101.368916
3200,2,2,195.592631
3200,2,4,116.120067
3200,2,8,95.076028
3200,2,16,100.255022
3200,2,32,101.773723
3200,3,2,195.256770
3200,3,4,118.551993
3200,3,8,94.039201
3200,3,16,100.133402
3200,3,32,101.056790
3200,4,2,194.482658
3200,4,4,115.086485
3200,4,8,95.657903
3200,4,16,99.575023
3200,4,32,100.491950
3200,5,2,194.042203
3200,5,4,133.298048
3200,5,8,117.444272
3200,5,16,122.626156
3200,5,32,124.274486
3200,6,2,396.827065
3200,6,4,285.853642
3200,6,8,227.018780
3200,6,16,100.129649
3200,6,32,88.785284
3200,7,2,166.692377
3200,7,4,112.752414
3200,7,8,94.443353
3200,7,16,99.409932
3200,7,32,100.897297
3200,8,2,196.206174
3200,8,4,112.939972
3200,8,8,95.126251
3200,8,16,103.851928
3200,8,32,100.580018
3200,9,2,195.861074
3200,9,4,114.160665
3200,9,8,96.440667
3200,9,16,99.669464
3200,9,32,100.993129
3200,10,2,193.722756
3200,10,4,113.141388
3200,10,8,95.452444
3200,10,16,99.858238
3200,10,32,100.610636
